match_number,stage,home,away,home_goals,away_goals,winner,decided_by,home_xg,away_xg
1,Group Stage,Mexico,South Korea,2,1,Mexico,most_likely_score_prob=0.086,1.4601351219079066,1.379757422930807
2,Group Stage,Mexico,South Africa,1,0,Mexico,most_likely_score_prob=0.100,1.9541560792235446,1.021196719769436
3,Group Stage,Mexico,Czechia,1,0,Mexico,most_likely_score_prob=0.089,1.4591385990034644,1.3329555645000464
4,Group Stage,South Korea,South Africa,1,0,South Korea,most_likely_score_prob=0.110,1.8028134065076638,0.9969910288491143
5,Group Stage,South Korea,Czechia,1,0,South Korea,most_likely_score_prob=0.095,1.3461333289618647,1.3013601727599553
6,Group Stage,South Africa,Czechia,0,1,Czechia,most_likely_score_prob=0.113,0.9963105956612094,1.7416613399007495
7,Group Stage,Canada,Switzerland,0,1,Switzerland,most_likely_score_prob=0.098,1.254892289819696,1.4233916982292047
8,Group Stage,Canada,Qatar,1,0,Canada,most_likely_score_prob=0.112,1.7101577858503143,1.0197891021700976
9,Group Stage,Canada,Bosnia-Herzegovina,1,0,Canada,most_likely_score_prob=0.097,1.5560911617480677,1.219034770655674
10,Group Stage,Switzerland,Qatar,1,0,Switzerland,most_likely_score_prob=0.126,1.7117160748808211,0.8998869137435271
11,Group Stage,Switzerland,Bosnia-Herzegovina,1,0,Switzerland,most_likely_score_prob=0.112,1.55750906587825,1.0757061780489663
12,Group Stage,Qatar,Bosnia-Herzegovina,0,1,Bosnia-Herzegovina,most_likely_score_prob=0.111,1.1158775015266413,1.4659642987702504
13,Group Stage,Brazil,Morocco,1,0,Brazil,most_likely_score_prob=0.112,1.6096722967864094,1.058225542872146
14,Group Stage,Brazil,Scotland,1,0,Brazil,most_likely_score_prob=0.118,1.7868644429824978,0.9314176126957656
15,Group Stage,Brazil,Haiti,2,0,Brazil,most_likely_score_prob=0.131,2.3912050652410937,0.6928577220036145
16,Group Stage,Morocco,Scotland,1,0,Morocco,most_likely_score_prob=0.105,1.469572401733696,1.1652069226946504
17,Group Stage,Morocco,Haiti,1,0,Morocco,most_likely_score_prob=0.116,1.966600759539851,0.8667676057622047
18,Group Stage,Scotland,Haiti,1,0,Scotland,most_likely_score_prob=0.117,1.73094157187396,0.9621810713631658
19,Group Stage,United States,Paraguay,1,0,United States,most_likely_score_prob=0.104,1.531901789764458,1.1547651033426394
20,Group Stage,United States,Australia,1,0,United States,most_likely_score_prob=0.110,1.5610612366969558,1.0941257716248063
21,Group Stage,United States,Turkey,1,0,United States,most_likely_score_prob=0.093,1.3773841915844736,1.314031070463023
22,Group Stage,Paraguay,Australia,1,0,Paraguay,most_likely_score_prob=0.105,1.3081462412489857,1.2163004799371981
23,Group Stage,Paraguay,Turkey,0,1,Turkey,most_likely_score_prob=0.107,1.1542275924994887,1.4607613339398
